t_ns,OPAL_x_m,ImpactT_x_m,OPAL_epsx_mm_mr,ImpactT_epsx_mm_mr
0,0.004983478698423349,0.005003068905191045,0.039943411179078236,0.012047356868126562
1,0.005187146371463714,0.004999829164958317,0.1693175908269149,0.21232320077603906
2,0.0050732810145002845,0.005006205219002862,0.4538763414240016,0.415357418352685
3,0.005270720976440535,0.005070948115141528,0.6461385208731605,0.6200113513343791
4,0.005270945261266083,0.005192783723348454,0.845596802589434,0.8092364862402317
5,0.00546939774953305,0.005267387901151739,0.9709774703287931,0.9953707009769409
6,0.005529429644007422,0.005391914119612894,1.2021092593826617,1.160262108042645
7,0.005790369003690038,0.005587307363899327,1.2741056948786047,1.3178591027198863
8,0.005907714910482438,0.005775475123771738,1.495958067762496,1.4570275179004453
9,0.00610950776938962,0.00597536783100882,1.588520622955081,1.5842339691291079
10,0.006354883481267246,0.00616937935745046,1.7267326567187358,1.6927810077640415
11,0.006282410279855012,0.006486276108842593,1.7842133778480642,1.7925855343158306
12,0.006875061665055152,0.006682840176476686,1.8421206091339781,1.8758712551885197
13,0.00684428463602818,0.00700576320279332,1.9102956064351895,1.9454081730570096
14,0.0074544086230336,0.007264461531898558,1.9701577970523652,2.0083027890481815
15,0.007433830929218384,0.0075926264742814465,2.0153555258956843,2.0558038589725762
16,0.008106316340941189,0.0079067599477399,2.0555631721304617,2.0948815300418637
17,0.00849169741697417,0.00829146597540742,2.090589142192792,2.1293900724119967
18,0.008761406024386333,0.008618581613335955,2.114612448848566,2.1544220444017785
19,0.009197836296544784,0.00895018450184502,2.1313775889775024,2.1725032089081346
20,0.009522750090269401,0.009328401279508293,2.1455454581141558,2.1880363442658353
21,0.009970324100831372,0.009714590684674241,2.1544145603197244,2.1958401165627754
22,0.010293295238777629,0.010100885445940554,2.159833968510968,2.2021844669274677
23,0.010279532122244302,0.010487349296984352,2.1648498458922814,2.2048451548482406
24,0.01107247930587414,0.010880410589820186,2.1648605420980935,2.2049518136865425
25,0.011458629009367019,0.011274690078361458,2.1603023227078824,2.2021882901548278
26,0.011861200799507997,0.01170949287617876,2.1553352457866684,2.197876378645125
27,0.01223344680629905,0.01210893475213822,2.1498387650574564,2.1915082758234874
28,0.012702285957877632,0.012502952475176927,2.144196100335215,2.184985824302545
29,0.013077378838641946,0.0129497100383375,2.135338681485287,2.176133430389082
30,0.013590802647536968,0.013397020725388602,2.126085903776502,2.167605172526251
31,0.013971148312400554,0.013843979301861986,2.1169934012043705,2.157292860252635
32,0.014442659938647578,0.014248668675781884,2.1036933463505036,2.1466649160582487
33,0.014870660867242159,0.014696974873789143,2.0957017130871143,2.1366389227613993
34,0.015350076345591043,0.01514178124454512,2.0856405685458608,2.126463172510195
35,0.01578127382513495,0.015601179653100882,2.075645124428772,2.114863658370222
36,0.01624965405904059,0.01605043506250342,2.0653122066726697,2.105910855565618
37,0.016630246771217713,0.016500751157619568,2.0554414781775683,2.0961491612505294
38,0.01715790876996869,0.016955917386487638,2.0453365639234082,2.0868975645376997
39,0.01753038231201984,0.01740942892072039,2.0376128709705252,2.0778818622156052
40,0.018109330566324213,0.01790778636273977,2.029507523963103,2.0697515183482134
41,0.018506379606049585,0.018362901791668523,2.02177083614616,2.060461235864145
42,0.019026721120555975,0.01882501627957456,2.0128409089075587,2.052911356335306
43,0.01940772944963492,0.019282441574415745,2.004413161753877,2.044795850402259
44,0.019985325076103275,0.01978214837380932,1.9984724129260556,2.0386090850704424
45,0.020374867702165397,0.020246881040238973,1.992480131997528,2.0311494536813828
46,0.020902470359978144,0.020749554363489457,1.986722045860371,2.0244849446258755
47,0.02134536012026787,0.021207845244726034,1.9806979017606117,2.018288844465046
48,0.02191286660573028,0.021669429165086046,1.975053345522879,2.013246508839807
49,0.022254174945595614,0.022172434829187,1.9692803375852406,2.0074209613764737
50,0.022831258559749292,0.022637942725581103,1.9649890888254307,2.003214641277223
51,0.023271417647636555,0.023142305812308937,1.9601976492286275,1.9977953398476147
52,0.023807436482008136,0.023603447878228784,1.9552398228309207,1.9933122920716786
53,0.02424786410026263,0.024106752496533535,1.9514073482064498,1.9890920293694812
54,0.02481924278650981,0.024575982438656507,1.948198739288311,1.9857417221497753
55,0.025204402515723274,0.025083009016602927,1.9442097710450787,1.9814884678697533
56,0.02578804380276813,0.02554843060655546,1.9415753916627452,1.9785035710407197
57,0.02618160975913557,0.02605527605157287,1.9382591363088353,1.9747200467899806
58,0.026778772851658535,0.026565652981704647,1.9341502299239313,1.972129158855647
59,0.026762289056052515,0.027021001964051904,1.9428891897477816,1.9671098845310135
60,0.027757156435200717,0.027946487313710352,1.9435527862649633,1.9662171816730059
61,0.028197074051892354,0.028060824844775397,1.9473722036070937,1.9653603390618097
62,0.028760534460183312,0.028516690134006605,1.9253136647623563,1.9617870125443446
63,0.02915315615922117,0.029029782242266867,1.9233847527474823,1.9589702959235422
64,0.029736225135920002,0.029537250526981945,1.9221415705930367,1.9570059915182623
65,0.030179974453590695,0.030051686082680693,1.9200382936323643,1.9555052184284805
66,0.030717582342490096,0.030516877188002653,1.9177534716214903,1.953928062585065
67,0.0311487342437527,0.031030526668903054,1.917112122249042,1.9515612013536483
68,0.03173806760322796,0.03154003690036901,1.9164620346564476,1.950745893019146
69,0.03217905184370993,0.032057106007953286,1.9144935032765926,1.9497367962378065
70,0.0327671096862002,0.032563188827252516,1.9124217516325728,1.948283372996388
